title,location,category,price,status,no_of_block,no_of_flat,no_of_floors
Management Building 1,New York,Office Building,1000000,Rent,5,20,10
Management Building 2,Los Angeles,Industrial Building,500000,Sell,3,15,8
Management Building 3,Chicago,Residential Building,2000000,Rent,10,50,20
Management Building 4,Miami,Commercial Building,1500000,Sell,8,30,15
Management Building 5,Boston,Office Building,800000,Rent,4,18,9
Management Building 6,Denver,Industrial Building,300000,Sell,2,10,5
Management Building 7,Seattle,Residential Building,1200000,Rent,6,25,12
Management Building 8,Portland,Commercial Building,900000,Sell,5,22,11
Management Building 9,Washington,Office Building,600000,Rent,3,15,8
Management Building 10,Minneapolis,Industrial Building,400000,Sell,4,18,9